state;year;dopen;population;presdemvoteshlag1;demmv;demvoteshlag1;demvoteshlag2;demvoteshfor1;demvoteshfor2;demwinprv1;demwinprv2;dmidterm;dpresdem
Connecticut;1914;0;1233000;39;-8;;;46;36;;;1;1
Connecticut;1916;0;1294000;39;-4;42;;36;45;0;;0;1
Connecticut;1922;0;1431000;33;-7;36;46;36;46;0;0;1;0
Connecticut;1926;0;1531000;28;-28;45;36;46;48;0;0;1;0
Connecticut;1928;1;1577000;28;-8;36;45;48;52;0;0;0;0
Connecticut;1932;0;1637000;46;1;46;36;52;40;0;0;0;0
Connecticut;1934;0;1650000;47;3;48;46;40;53;1;0;1;1
Connecticut;1938;0;1684000;55;-3;52;48;53;52;1;1;1;1
Connecticut;1944;0;1778000;53;5;53;40;41;52;1;0;0;1
Connecticut;1952;0;2081000;48;-8;52;41;43;57;1;0;0;1
Connecticut;1956;0;2316000;44;-12;44;52;57;51;0;1;0;0
Connecticut;1958;0;2446000;36;15;43;44;51;65;0;0;1;0
Connecticut;1962;1;2647000;54;3;57;43;65;54;1;0;1;1
Connecticut;1964;0;2798000;54;29;51;57;54;34;1;1;0;1
Connecticut;1968;0;2964000;68;9;65;51;34;64;1;1;0;1
Connecticut;1970;1;3032217;49;-8;54;65;64;41;1;1;1;0
Connecticut;1974;0;3074047;40;29;34;54;41;56;0;1;1;0
Connecticut;1976;0;3083335;40;-17;64;34;56;46;1;0;0;0
Connecticut;1980;1;3107576;47;13;41;64;46;65;0;1;0;1
Connecticut;1982;0;3139013;38;-4;56;41;65;50;1;0;1;0
Connecticut;1986;0;3223740;39;30;46;56;50;59;0;1;1;0
Connecticut;1988;0;3271953;39;1;65;46;59;67;1;0;0;0
Connecticut;1992;0;3274997;47;21;50;65;67;65;1;1;0;0
Connecticut;1994;0;3268346;42;36;59;50;65;63;1;1;1;0
Connecticut;1998;0;3272563;53;33;67;59;63;65;1;1;1;0
Connecticut;2000;0;3405650;53;29;65;67;65;40;1;1;0;0
Connecticut;2004;0;3496094;56;34;63;65;40;55;1;1;0;0
Connecticut;2006;0;3517460;54;-11;65;63;55;;1;1;1;0
Connecticut;2010;1;3574097;61;12;40;65;;;0;1;1;0
Maine;1916;0;775000;39;-7;;;44;42;;;0;1
Maine;1918;0;760000;47;-11;46;;42;40;0;;1;1
Maine;1922;0;778000;33;-15;44;46;40;30;0;0;1;0
Maine;1928;0;797000;22;-39;40;42;39;50;0;0;0;0
Maine;1930;1;800000;31;-22;30;40;50;49;0;0;1;0
Maine;1934;0;829000;43;0;39;30;49;41;0;0;1;1
Maine;1936;0;840000;43;-1;50;39;41;33;0;0;0;1
Maine;1940;1;849000;42;-17;49;50;33;36;0;0;0;1
Maine;1942;0;839000;49;-33;41;49;36;29;0;0;1;1
Maine;1946;0;832000;47;-27;33;41;29;37;0;0;1;1
Maine;1948;1;878000;47;-43;36;33;37;41;0;0;0;1
Maine;1952;1;915000;42;-25;29;36;41;61;0;0;0;1
Maine;1954;0;927000;34;-17;37;29;61;38;0;0;1;0
Maine;1958;0;944000;29;22;41;37;38;67;0;0;1;0
Maine;1960;0;969000;29;-23;61;41;67;41;1;0;0;0
Maine;1964;0;993000;43;33;38;61;41;62;0;1;0;1
Maine;1966;0;999000;69;-18;67;38;62;53;1;0;1;1
Maine;1970;0;993722;55;23;41;67;53;60;0;1;1;0
Maine;1972;0;1034292;55;6;62;41;60;34;1;0;0;0
Maine;1978;0;1113566;48;-23;60;53;61;26;1;1;1;1
Maine;1984;0;1155635;42;-47;61;34;81;39;1;0;0;0
Maine;1988;0;1203840;39;63;26;61;39;36;0;1;0;0
Maine;1990;0;1231296;44;-23;81;26;36;44;1;0;1;0
Maine;1994;1;1237687;39;-24;39;81;44;31;0;1;1;0
Maine;1996;1;1241436;39;-5;36;39;31;42;0;0;0;0
Maine;2000;0;1274779;52;-38;44;36;42;21;0;0;0;0
Maine;2002;0;1295960;49;-17;31;44;21;39;0;0;1;0
Maine;2006;0;1323619;54;-53;42;31;39;;0;0;1;0
Maine;2008;0;1330509;54;-23;21;42;;;0;0;0;0
Massachusetts;1916;0;3726000;36;-6;;;50;47;;;0;1
Massachusetts;1918;0;3695000;47;5;45;;47;49;0;;1;1
Massachusetts;1924;0;4102000;28;-2;47;50;54;54;0;1;0;0
Massachusetts;1928;0;4217000;25;8;49;47;54;59;0;0;0;0
Massachusetts;1930;1;4250000;50;9;54;49;59;41;1;0;1;0
Massachusetts;1934;0;4305000;51;22;54;54;41;56;1;1;1;1
Massachusetts;1936;1;4355000;51;-8;59;54;56;47;1;1;0;1
Massachusetts;1940;0;4318000;51;13;41;59;47;40;0;1;0;1
Massachusetts;1946;0;4494000;53;-20;47;56;46;51;0;1;1;1
Massachusetts;1948;0;4674000;53;-7;40;47;51;49;0;0;0;1
Massachusetts;1952;0;4650000;55;3;46;40;49;73;0;0;0;1
Massachusetts;1954;0;4910000;45;-2;51;46;73;43;1;0;1;0
Massachusetts;1960;0;5149000;40;-13;73;49;74;39;1;0;0;0
Massachusetts;1964;0;5448000;60;49;43;73;39;62;0;1;0;1
Massachusetts;1966;1;5535000;76;-22;74;43;62;35;1;0;1;1
Massachusetts;1970;0;5689170;63;25;39;74;35;69;0;1;1;0
Massachusetts;1972;0;5760302;63;-29;62;39;69;55;1;0;0;0
Massachusetts;1976;0;5743672;54;40;35;62;55;61;0;1;0;0
Massachusetts;1978;0;5736469;56;10;69;35;61;55;1;0;1;1
Massachusetts;1982;0;5771222;42;23;55;69;55;65;1;1;1;0
Massachusetts;1984;1;5840773;42;10;61;55;65;57;1;1;0;0
Massachusetts;1988;0;5979982;48;31;55;61;57;58;1;1;0;0
Massachusetts;1990;0;6018664;53;14;65;55;58;52;1;1;1;0
Massachusetts;1994;0;6031352;48;17;57;65;52;73;1;1;1;0
Massachusetts;1996;0;6085393;48;7;58;57;73;80;1;1;0;0
Massachusetts;2000;0;6349364;61;58;52;58;80;69;1;1;0;0
Massachusetts;2002;0;6417206;60;60;73;52;69;66;1;1;1;0
Massachusetts;2008;0;6468967;62;35;69;80;;;1;1;0;0
New Hampshire;1918;1;440000;49;-7;45;;42;40;0;;1;1
New Hampshire;1920;0;444000;49;-16;46;45;40;38;0;0;0;1
New Hampshire;1924;0;457000;39;-20;42;46;38;42;0;0;0;0
New Hampshire;1926;0;463000;35;-25;40;42;42;50;0;0;1;0
New Hampshire;1930;0;466000;41;-16;38;40;50;48;0;0;1;0
New Hampshire;1932;0;474000;41;1;42;38;48;46;0;0;0;0
New Hampshire;1936;1;481000;49;-4;50;42;46;45;1;0;0;1
New Hampshire;1938;0;485000;50;-8;48;50;45;49;0;1;1;1
New Hampshire;1942;0;481000;53;-9;46;48;49;41;0;0;1;1
New Hampshire;1944;0;456000;53;-2;45;46;41;38;0;0;0;1
New Hampshire;1948;0;520000;52;-17;49;45;38;40;0;0;0;1
New Hampshire;1954;0;554000;39;-20;38;41;36;40;0;0;1;0
New Hampshire;1956;0;566000;39;-28;40;38;40;40;0;0;0;0
New Hampshire;1962;0;632000;47;-19;40;36;54;41;0;0;1;1
New Hampshire;1966;1;681000;64;8;40;40;41;57;0;0;1;1
New Hampshire;1972;0;781107;44;14;41;54;50;49;0;1;0;0
New Hampshire;1978;0;891520;43;-2;50;57;48;41;1;1;1;1
New Hampshire;1980;1;920610;43;-4;49;50;41;32;0;1;0;1
New Hampshire;1984;0;976864;28;-18;48;49;32;31;0;0;0;0
New Hampshire;1986;0;1025053;31;-31;41;48;31;45;0;0;1;0
New Hampshire;1990;1;1111831;36;-34;32;41;45;46;0;0;1;0
New Hampshire;1992;1;1112766;36;-3;31;32;46;28;0;0;0;0
New Hampshire;1996;0;1160768;39;-3;45;31;28;46;0;0;0;0
New Hampshire;1998;0;1185823;49;-40;46;45;46;34;0;0;1;0
New Hampshire;2002;1;1269089;47;-4;28;46;34;52;0;0;1;0
New Hampshire;2004;0;1290121;47;-32;46;28;52;37;0;0;0;0
New Hampshire;2008;0;1315906;50;6;34;46;37;;0;0;0;0
New Hampshire;2010;1;1316470;54;-23;52;34;;;1;0;1;0
Rhode Island;1916;0;598000;39;9;;;46;52;;;0;1
Rhode Island;1922;0;644000;33;9;46;53;42;49;0;1;1;0
Rhode Island;1924;0;669000;33;-16;52;46;49;49;1;0;0;0
Rhode Island;1928;0;678000;36;-1;42;52;49;57;0;1;0;0
Rhode Island;1930;0;686000;50;-1;49;42;57;49;0;0;1;0
Rhode Island;1934;0;675000;55;14;49;49;49;55;0;0;1;1
Rhode Island;1936;0;686000;55;4;57;49;55;58;1;0;0;1
Rhode Island;1940;0;719000;53;10;49;57;58;55;1;1;0;1
Rhode Island;1942;0;748000;57;16;55;49;55;59;1;1;1;1
Rhode Island;1948;0;787000;59;19;55;58;55;59;1;1;0;1
Rhode Island;1952;0;802000;58;10;59;55;59;64;1;1;0;1
Rhode Island;1954;0;816000;49;19;55;59;64;69;1;1;1;0
Rhode Island;1958;0;858000;42;29;59;55;69;83;1;1;1;0
Rhode Island;1960;1;859000;42;38;64;59;83;68;1;1;0;0
Rhode Island;1964;0;885000;64;65;69;64;68;68;1;1;0;1
Rhode Island;1966;0;899000;81;35;83;69;68;54;1;1;1;1
Rhode Island;1970;0;949723;64;36;68;83;54;42;1;1;1;0
Rhode Island;1972;0;974790;64;8;68;68;42;75;1;1;0;0
Rhode Island;1976;1;946089;47;-16;54;68;75;49;1;1;0;0
Rhode Island;1978;0;951816;55;50;42;54;49;73;0;1;1;1
Rhode Island;1982;0;954170;48;-2;75;42;73;45;1;0;1;0
Rhode Island;1984;0;961894;48;45;49;75;45;62;0;1;0;0
Rhode Island;1988;0;996408;48;-9;73;49;62;35;1;0;0;0
Rhode Island;1990;0;1004649;56;24;45;73;35;63;0;1;1;0
Rhode Island;1996;1;987858;47;28;35;62;41;78;0;1;0;0
Rhode Island;2000;0;1048259;60;-16;63;35;78;53;1;0;0;0
Rhode Island;2002;0;1065995;61;57;41;63;53;73;0;1;1;0
Rhode Island;2006;0;1063096;59;7;78;41;73;;1;0;1;0
Rhode Island;2008;0;1055003;59;47;53;78;;;1;1;0;0
Vermont;1914;0;362000;24;-56;;;23;22;;;1;1
Vermont;1916;0;360000;24;-51;0;;22;32;0;;0;1
Vermont;1922;1;354000;23;-36;22;23;27;28;0;0;1;0
Vermont;1926;0;356000;16;-47;32;22;28;45;0;0;1;0
Vermont;1934;0;357000;41;-3;45;28;34;34;0;0;1;1
Vermont;1944;0;314000;45;-32;34;34;25;22;0;0;0;1
Vermont;1946;1;342000;43;-49;34;34;22;28;0;0;1;1
Vermont;1950;0;378000;37;-56;25;34;28;34;0;0;1;1
Vermont;1952;0;375000;37;-45;22;25;34;48;0;0;0;1
Vermont;1956;0;377000;28;-33;28;22;48;33;0;0;0;0
Vermont;1958;1;380000;28;-4;34;28;33;47;0;0;1;0
Vermont;1962;0;393000;41;-34;48;34;47;0;0;0;1;1
Vermont;1964;0;399000;41;-7;33;48;0;40;0;0;0;1
Vermont;1968;0;430000;66;-100;47;33;40;49;0;0;0;1
Vermont;1974;1;473002;37;3;40;0;45;50;0;0;1;0
Vermont;1976;0;484928;37;-5;49;40;50;47;1;0;0;0
Vermont;1980;1;511456;43;1;45;49;47;63;0;1;0;1
Vermont;1982;0;519109;38;-3;50;45;63;30;1;0;1;0
Vermont;1986;0;534066;41;29;47;50;30;54;0;1;1;0
Vermont;1988;1;549763;41;-38;63;47;54;41;1;0;0;0
Vermont;1992;0;570115;48;11;30;63;41;72;0;1;0;0
Vermont;1994;0;578900;46;-10;54;30;72;25;1;0;1;0
Vermont;1998;0;590579;53;50;41;54;25;71;0;1;1;0
Vermont;2004;0;619920;51;46;25;72;0;64;0;1;0;0
Vermont;2006;1;622892;59;-68;71;25;64;;1;0;1;0
Vermont;2010;0;625741;67;33;0;71;;;0;1;1;0
Delaware;1918;0;220000;48;-3;50;;50;41;1;;1;1
Delaware;1922;0;214000;42;0;48;50;41;39;0;1;1;0
Delaware;1928;0;233000;37;-22;41;50;45;46;0;1;0;0
Delaware;1930;0;239000;34;-9;39;41;46;53;0;0;1;0
Delaware;1934;0;250000;48;-7;45;39;53;51;0;0;1;1
Delaware;1936;0;253000;48;12;46;45;51;45;0;0;0;1
Delaware;1940;0;269000;55;3;53;46;45;45;1;0;0;1
Delaware;1942;1;279000;55;-9;51;53;45;51;1;1;1;1
Delaware;1946;0;299000;54;-10;45;51;51;46;0;1;1;1
Delaware;1948;0;312000;54;3;45;45;46;57;0;0;0;1
Delaware;1952;0;341000;49;-9;51;45;57;47;1;0;0;1
Delaware;1954;0;368000;48;14;46;51;47;49;0;1;1;0
Delaware;1958;0;433000;45;-7;57;46;49;48;1;0;1;0
Delaware;1960;0;446000;45;-1;47;57;48;41;0;1;0;0
Delaware;1966;0;516000;61;-18;48;49;40;50;0;0;1;1
Delaware;1970;1;548104;42;-19;41;48;50;44;0;0;1;0
Delaware;1972;0;572913;42;1;40;41;44;58;0;0;0;0
Delaware;1976;0;590166;39;-12;50;40;58;44;1;0;0;0
Delaware;1978;0;594776;52;17;44;50;44;60;0;1;1;1
Delaware;1982;0;599148;45;-11;58;44;60;38;1;0;1;0
Delaware;1984;0;611565;45;20;44;58;38;63;0;1;0;0
Delaware;1988;0;647622;40;-24;60;44;63;42;1;0;0;0
Delaware;1990;0;669063;43;27;38;60;42;60;0;1;1;0
Delaware;1994;0;708416;44;-13;63;38;60;56;1;0;1;0
Delaware;1996;0;727090;44;22;42;63;56;58;0;1;0;0
Delaware;2000;0;783559;52;12;60;42;58;67;1;0;0;0
Delaware;2002;0;806169;55;17;56;60;67;65;1;1;1;0
Delaware;2006;0;859268;53;40;58;56;65;;1;1;1;0
New Jersey;1916;0;2918000;41;-17;;;43;55;;;0;1
New Jersey;1918;1;3043000;43;-7;39;;55;34;0;;1;1
New Jersey;1922;0;3380000;28;11;43;39;34;42;0;0;1;0
New Jersey;1928;0;3968000;27;-16;34;55;39;58;0;1;0;0
New Jersey;1936;0;4084000;49;11;58;39;44;46;1;0;0;1
New Jersey;1942;0;4297000;51;-7;44;55;40;47;0;1;1;1
New Jersey;1946;0;4492000;50;-18;46;44;47;44;0;0;1;1
New Jersey;1948;1;4774000;50;-3;40;46;44;48;0;0;0;1
New Jersey;1952;0;5125000;46;-12;47;40;48;51;0;0;0;1
New Jersey;1954;1;5360000;42;0;44;47;51;43;0;0;1;0
New Jersey;1958;1;5890000;34;4;48;44;43;62;0;0;1;0
New Jersey;1960;0;6067000;34;-12;51;48;62;37;1;0;0;0
New Jersey;1964;0;6660000;50;25;43;51;37;54;0;1;0;1
New Jersey;1966;0;6851000;66;-23;62;43;54;35;1;0;1;1
New Jersey;1970;0;7171112;44;12;37;62;35;61;0;1;1;0
New Jersey;1972;0;7335042;44;-28;54;37;61;55;1;0;0;0
New Jersey;1976;0;7339745;37;23;35;54;55;51;0;1;0;0
New Jersey;1978;1;7350804;48;12;61;35;51;64;1;0;1;1
New Jersey;1984;0;7515473;39;29;51;55;54;50;1;1;0;0
New Jersey;1988;0;7712333;39;8;64;51;50;50;1;1;0;0
New Jersey;1990;0;7757158;43;3;54;64;50;53;1;1;1;0
New Jersey;1994;0;7918796;43;3;50;54;53;50;1;1;1;0
New Jersey;1996;1;8009624;43;10;50;50;50;54;1;1;0;0
New Jersey;2002;1;8552643;56;10;50;53;53;56;1;1;1;0
New Jersey;2006;0;8661679;53;9;54;50;56;;1;1;1;0
New Jersey;2008;0;8711090;53;14;53;54;;;1;1;0;0
New York;1914;1;9585000;41;-5;;;39;33;;;1;1
New York;1916;1;9848000;41;-15;42;;33;53;0;;0;1
New York;1920;0;282000;45;-19;39;42;53;46;0;0;0;1
New York;1922;0;589000;27;12;33;39;46;49;0;0;1;0
New York;1926;0;1257000;29;4;53;33;49;56;1;0;1;0
New York;1928;0;1599000;29;1;46;53;56;55;1;1;0;0
New York;1932;0;3001000;47;17;49;46;55;54;1;1;0;0
New York;1938;0;3512000;59;10;55;56;53;53;1;1;1;1
New York;1940;0;3456000;59;7;54;55;53;47;1;1;0;1
New York;1946;1;3398000;52;-5;53;53;50;36;1;1;1;1
New York;1950;0;14830000;45;5;47;53;36;47;0;1;1;1
New York;1952;0;15192000;45;-19;50;47;47;48;1;0;0;1
New York;1956;1;16112000;44;-7;36;50;48;40;0;1;0;0
New York;1958;1;16601000;39;-2;47;36;40;53;0;0;1;0
New York;1962;0;17301000;53;-17;48;47;53;33;0;0;1;1
New York;1968;0;18051000;69;-17;53;40;37;38;1;0;0;1
New York;1970;1;18241391;50;-2;33;53;38;54;0;1;1;0
New York;1974;0;18049775;40;-7;37;33;54;44;0;0;1;0
New York;1976;0;17940541;40;9;38;37;44;65;0;0;0;0
New York;1980;1;17558072;52;-1;54;38;65;38;1;0;0;1
New York;1982;0;17589738;44;31;44;54;38;67;0;1;1;0
New York;1986;0;17833419;46;-15;65;44;67;48;1;0;1;0
New York;1988;0;17941309;46;36;38;65;48;55;0;1;0;0
New York;1992;0;18082032;52;-1;67;38;55;55;1;0;0;0
New York;1994;0;18156652;50;14;48;67;55;55;0;1;1;0
New York;1998;0;18159175;59;11;55;48;55;71;1;0;1;0
New York;2000;1;18977026;59;12;55;55;71;67;1;1;0;0
New York;2004;0;19171567;60;47;55;55;67;66;1;1;0;0
New York;2010;0;19378102;63;34;67;71;;;1;1;1;0
Pennsylvania;1914;0;8276000;32;-23;;;37;27;;;1;1
Pennsylvania;1922;0;8982000;27;-26;27;37;43;34;0;0;1;0
Pennsylvania;1928;0;9802000;19;-30;43;30;43;51;0;0;0;0
Pennsylvania;1932;0;9764000;34;-6;34;43;51;44;0;0;0;0
Pennsylvania;1934;0;9795000;45;4;43;34;44;52;0;0;1;1
Pennsylvania;1938;0;9952000;57;-10;51;43;52;50;1;0;1;1
Pennsylvania;1940;0;9896000;57;4;44;51;50;40;0;1;0;1
Pennsylvania;1944;0;9214000;53;1;52;44;40;48;1;0;0;1
Pennsylvania;1946;0;9866000;51;-19;50;52;48;48;1;1;1;1
Pennsylvania;1950;0;10498000;47;-4;40;50;48;50;0;1;1;1
Pennsylvania;1952;0;10503000;47;-4;48;40;50;48;0;0;0;1
Pennsylvania;1956;0;10972000;47;0;48;48;48;51;0;0;0;0
Pennsylvania;1958;1;11058000;43;-3;50;48;51;49;1;0;1;0
Pennsylvania;1962;0;11355000;51;2;48;50;49;46;0;1;1;1
Pennsylvania;1964;0;11519000;51;-1;51;48;46;45;1;0;0;1
Pennsylvania;1968;0;11741000;65;-6;49;51;45;46;0;1;0;1
Pennsylvania;1970;0;11800766;48;-6;46;49;46;47;0;0;1;0
Pennsylvania;1974;0;11870884;39;-7;45;46;47;48;0;0;1;0
Pennsylvania;1976;1;11897378;39;-6;46;45;48;39;0;0;0;0
Pennsylvania;1980;1;11863895;50;-2;47;46;39;43;0;0;0;1
Pennsylvania;1982;0;11845146;42;-20;48;47;43;32;0;0;1;0
Pennsylvania;1986;0;11782752;46;-14;39;48;32;46;0;0;1;0
Pennsylvania;1992;1;11980819;48;-3;32;43;47;35;0;0;0;0
Pennsylvania;1994;0;12042545;45;-2;46;32;35;46;0;0;1;0
Pennsylvania;1998;0;12002329;49;-27;47;46;46;42;0;0;1;0
Pennsylvania;2000;0;12280548;49;-7;35;47;42;59;0;0;0;0
Pennsylvania;2006;0;12510809;51;17;42;46;49;;0;0;1;0
Pennsylvania;2010;1;12702379;55;-2;59;42;;;1;0;1;0
Illinois;1914;1;6109000;35;-2;;;45;27;;;1;1
Illinois;1924;1;7215000;26;-28;27;45;43;64;0;0;0;0
Illinois;1930;1;7644000;42;33;43;35;52;56;0;0;1;0
Illinois;1932;0;7736000;42;6;64;43;56;51;1;0;0;0
Illinois;1938;1;7866000;58;3;56;52;46;53;1;1;1;1
Illinois;1942;0;8057000;51;-7;51;56;53;55;1;1;1;1
Illinois;1944;0;7719000;51;6;46;51;55;46;0;1;0;1
Illinois;1948;0;8552000;52;10;53;46;46;54;1;0;0;1
Illinois;1950;0;8712000;50;-8;55;53;54;46;1;1;1;1
Illinois;1954;0;9252000;45;7;46;55;46;55;0;1;1;0
Illinois;1956;0;9530000;45;-8;54;46;55;47;1;0;0;0
Illinois;1960;0;10081000;40;9;46;54;47;44;0;1;0;0
Illinois;1962;0;10280000;50;-6;55;46;44;47;1;0;1;1
Illinois;1966;0;10836000;59;-11;47;55;47;37;0;1;1;1
Illinois;1972;0;11251948;44;-25;47;44;62;45;0;0;0;0
Illinois;1974;0;11262145;41;25;37;47;45;56;0;0;1;0
Illinois;1978;0;11412561;48;-8;62;37;56;50;1;0;1;1
Illinois;1980;1;11426518;48;14;45;62;50;65;0;1;0;1
Illinois;1984;0;11412132;42;2;56;45;65;65;1;0;0;0
Illinois;1986;0;11387257;43;31;50;56;65;53;1;1;1;0
Illinois;1990;0;11446979;49;30;65;50;53;56;1;1;1;0
Illinois;1992;1;11635197;49;10;65;65;56;47;1;1;0;0
Illinois;1996;1;11953003;49;15;53;65;47;60;1;1;0;0
Illinois;1998;0;12069774;54;-3;56;53;60;70;1;1;1;0
Illinois;2002;0;12525556;55;22;47;56;70;68;0;1;1;0
Illinois;2008;0;12747038;55;39;70;60;46;;1;1;0;0
Illinois;2010;1;12830632;62;-2;68;70;;;1;1;1;0
Indiana;1916;0;2897000;43;-2;42;;41;51;1;;0;1
Indiana;1920;0;2947000;46;-13;46;42;51;49;0;1;0;1
Indiana;1926;0;3148000;39;-1;51;41;44;56;1;0;1;0
Indiana;1928;0;3212000;39;-11;49;51;56;51;0;1;0;0
Indiana;1932;0;3281000;40;13;44;49;51;50;0;0;0;0
Indiana;1934;0;3319000;55;4;56;44;50;49;1;0;1;1
Indiana;1940;0;3433000;57;-1;50;51;49;43;1;1;0;1
Indiana;1944;1;3440000;49;-1;49;50;43;46;0;1;0;1
Indiana;1946;1;3702000;47;-12;49;49;46;47;0;0;1;1
Indiana;1950;0;3934000;49;-6;43;49;47;44;0;0;1;1
Indiana;1952;0;4148000;49;-6;46;43;44;56;0;0;0;1
Indiana;1956;0;4458000;41;-11;47;46;56;50;0;0;0;0
Indiana;1958;1;4583000;40;14;44;47;50;54;0;0;1;0
Indiana;1962;0;4736000;45;1;56;44;54;52;1;0;1;1
Indiana;1964;0;4856000;45;9;50;56;52;50;1;1;0;1
Indiana;1968;0;5093000;56;4;54;50;50;51;1;1;0;1
Indiana;1970;0;5195392;38;0;52;54;51;40;1;1;1;0
Indiana;1974;0;5361890;33;4;50;52;40;46;1;1;1;0
Indiana;1976;0;5389088;33;-18;51;50;46;46;1;1;0;0
Indiana;1980;1;5490224;46;-8;40;51;46;39;0;1;0;1
Indiana;1982;0;5467922;38;-8;46;40;39;32;0;0;1;0
Indiana;1988;0;5491735;38;-36;39;46;41;31;0;0;0;0
Indiana;1992;0;5648649;40;-17;32;39;31;64;0;0;0;0
Indiana;1994;0;5745626;37;-37;41;32;64;32;0;0;1;0
Indiana;1998;1;5907617;42;29;31;41;32;62;0;0;1;0
Indiana;2000;0;6080827;42;-35;64;31;62;0;1;0;0;0
Indiana;2004;0;6233007;41;24;32;64;0;40;0;1;0;0
Indiana;2006;0;6332669;39;-87;62;32;40;;1;0;1;0
Indiana;2010;1;6483802;50;-15;0;62;;;0;1;1;0
Michigan;1916;0;3353000;27;-16;;;48;51;;;0;1
Michigan;1924;0;4214000;22;-50;51;48;28;21;1;0;0;0
Michigan;1928;0;4665000;13;-44;25;51;21;47;0;1;0;0
