state;year;dopen;population;presdemvoteshlag1;demmv;demvoteshlag1;demvoteshlag2;demvoteshfor1;demvoteshfor2;demwinprv1;demwinprv2;dmidterm;dpresdem
Michigan;1934;0;4798000;52;-4;21;28;53;47;0;0;1;1
Michigan;1936;1;4889000;52;11;47;21;47;47;0;0;0;1
Michigan;1940;0;5315000;56;-6;53;47;47;32;1;0;0;1
Michigan;1942;0;5549000;50;-2;47;53;32;49;0;1;1;1
Michigan;1948;0;6213000;50;-2;32;47;49;51;0;0;0;1
Michigan;1952;0;6650000;48;-2;49;32;51;54;0;0;0;1
Michigan;1954;0;7066000;44;2;49;49;54;52;0;0;1;0
Michigan;1958;0;7667000;44;7;51;49;52;64;1;0;1;0
Michigan;1964;0;8187000;51;29;52;54;44;67;1;1;0;1
Michigan;1966;0;8512000;67;-12;64;52;67;46;1;1;1;1
Michigan;1970;0;8881826;48;34;44;64;46;52;0;1;1;0
Michigan;1972;0;9028944;48;-6;67;44;52;52;1;0;0;0
Michigan;1976;1;9129205;42;6;46;67;52;58;0;1;0;0
Michigan;1978;0;9217761;46;4;52;46;58;52;1;0;1;1
Michigan;1982;0;9115198;42;17;52;52;52;60;1;1;1;0
Michigan;1984;0;9049452;42;5;58;52;60;57;1;1;0;0
Michigan;1988;0;9217998;40;22;52;58;57;43;1;1;0;0
Michigan;1990;0;9310462;46;16;60;52;43;58;1;1;1;0
Michigan;1994;1;9584481;44;-9;57;60;58;49;1;1;1;0
Michigan;1996;0;9739184;44;18;43;57;49;61;0;1;0;0
Michigan;2000;0;9938823;52;2;58;43;61;57;1;0;0;0
Michigan;2002;0;10015710;51;23;49;58;57;63;1;1;1;0
Michigan;2006;0;10036081;51;16;61;49;63;;1;1;1;0
Michigan;2008;0;9946889;51;29;57;61;;;1;1;0;0
Ohio;1916;0;5366000;41;3;40;;41;48;0;;0;1
Ohio;1920;1;5799000;52;-18;49;40;48;47;1;0;0;1
Ohio;1922;0;6054000;39;-3;41;49;47;39;0;1;1;0
Ohio;1928;0;6608000;24;-22;47;48;52;60;0;0;0;0
Ohio;1932;0;6717000;34;7;39;47;60;46;0;0;0;0
Ohio;1934;0;6751000;50;21;52;39;46;48;1;0;1;1
Ohio;1938;0;6837000;58;-7;60;52;48;50;1;1;1;1
Ohio;1944;0;6918000;52;-1;48;46;42;42;0;0;0;1
Ohio;1946;1;7512000;50;-15;50;48;42;45;0;0;1;1
Ohio;1952;0;8275000;49;-9;42;42;53;52;0;0;0;1
Ohio;1956;0;9207000;43;6;45;42;52;62;0;0;0;0
Ohio;1958;0;9599000;39;5;53;45;62;50;1;0;1;0
Ohio;1962;0;9929000;47;23;52;53;50;48;1;1;1;1
Ohio;1964;0;10080000;47;0;62;52;48;47;1;1;0;1
Ohio;1970;1;10657423;43;-2;48;50;65;50;0;1;1;0
Ohio;1974;1;10765759;38;34;47;48;50;69;0;0;1;0
Ohio;1976;0;10752662;38;3;65;47;69;57;1;0;0;0
Ohio;1980;1;10797630;49;41;50;65;57;62;1;1;0;1
Ohio;1982;0;10757087;41;16;69;50;62;57;1;1;1;0
Ohio;1986;0;10730268;40;25;57;69;57;51;1;1;1;0
Ohio;1988;0;10798552;40;14;62;57;51;39;1;1;0;0
Ohio;1992;0;11007609;44;9;57;62;39;44;1;1;0;0
Ohio;1994;1;11111451;40;-14;51;57;44;36;1;1;1;0
Ohio;1998;1;11237752;47;-13;39;51;36;36;0;1;1;0
Ohio;2000;0;11353336;47;-24;44;39;36;56;0;0;0;0
Ohio;2004;0;11452251;46;-28;36;44;56;39;0;0;0;0
Ohio;2006;0;11481213;49;12;36;36;39;;0;0;1;0
Ohio;2010;1;11536504;52;-17;56;36;;;1;0;1;0
Wisconsin;1916;0;2562000;41;-27;44;;13;0;1;;0;1
Wisconsin;1920;0;2679000;43;-32;32;44;0;12;0;1;0;1
Wisconsin;1926;1;2892000;8;-43;0;13;0;57;0;0;1;0
Wisconsin;1928;0;2923000;8;-86;12;0;57;24;0;0;0;0
Wisconsin;1932;1;3021000;44;21;0;12;24;25;0;0;0;0
Wisconsin;1934;0;3054000;63;-29;57;0;25;13;1;0;1;1
Wisconsin;1938;0;3098000;64;-23;24;57;13;43;0;1;1;1
Wisconsin;1940;0;3143000;64;-32;25;24;43;37;0;0;0;1
Wisconsin;1944;0;2980000;50;-8;13;25;37;46;0;0;0;1
Wisconsin;1946;1;3167000;49;-24;43;13;46;46;0;0;1;1
Wisconsin;1950;0;3435000;51;-7;37;43;46;41;0;0;1;1
Wisconsin;1956;0;3742000;39;-17;46;46;57;53;0;0;0;0
Wisconsin;1958;0;3843000;38;14;41;46;53;53;0;0;1;0
Wisconsin;1962;0;4049000;48;5;57;41;53;62;1;0;1;1
Wisconsin;1964;0;4165000;48;7;53;57;62;71;1;1;0;1
Wisconsin;1968;0;4345000;62;23;53;53;71;62;1;1;0;1
Wisconsin;1970;0;4417821;44;42;62;53;62;72;1;1;1;0
Wisconsin;1974;0;4545782;44;26;71;62;72;48;1;1;1;0
Wisconsin;1976;0;4595904;44;45;62;71;48;64;1;1;0;0
Wisconsin;1980;1;4705767;49;-2;72;62;64;47;1;1;0;1
Wisconsin;1982;0;4728870;43;30;48;72;47;52;0;1;1;0
Wisconsin;1986;0;4755618;45;-3;64;48;52;53;1;0;1;0
Wisconsin;1988;1;4822388;45;5;47;64;53;58;0;1;0;0
Wisconsin;1992;0;5004636;51;7;52;47;58;51;1;0;0;0
Wisconsin;1994;0;5095504;41;18;53;52;51;62;1;1;1;0
Wisconsin;1998;0;5222124;49;2;58;53;62;55;1;1;1;0
Wisconsin;2000;0;5363757;49;25;51;58;55;67;1;1;0;0
Wisconsin;2004;0;5514026;48;11;62;51;67;47;1;1;0;0
Wisconsin;2006;0;5577655;50;38;55;62;47;;1;1;1;0
Wisconsin;2010;0;5686986;56;-5;67;55;;;1;1;1;0
Iowa;1914;0;2338000;38;-9;;;35;37;;;1;1
Iowa;1926;1;2432000;16;-13;50;37;43;55;0;0;1;0
Iowa;1930;0;2475000;38;-13;43;50;55;50;0;0;1;0
Iowa;1936;0;2509000;58;3;55;43;50;42;1;0;0;1
Iowa;1938;0;2494000;54;0;50;55;42;48;1;1;1;1
Iowa;1942;0;2439000;48;-16;50;50;48;58;1;1;1;1
Iowa;1944;0;2301000;48;-3;42;50;58;45;0;1;0;1
Iowa;1948;0;2543000;47;16;48;42;45;48;0;0;0;1
Iowa;1950;0;2621000;50;-10;58;48;48;46;1;0;1;1
Iowa;1954;0;2626000;36;-5;45;58;46;48;0;1;1;0
Iowa;1956;0;2703000;36;-8;48;45;48;47;0;0;0;0
Iowa;1960;1;2758000;41;-4;46;48;47;38;0;0;0;0
Iowa;1962;0;2750000;43;-7;48;46;38;50;0;0;1;1
Iowa;1966;0;2762000;62;-23;47;48;50;55;0;0;1;1
Iowa;1968;1;2803000;62;1;38;47;55;52;0;0;0;1
Iowa;1972;0;2860287;41;11;50;38;52;48;1;0;0;0
Iowa;1974;1;2867530;40;5;55;50;48;46;1;1;1;0
Iowa;1978;0;2918069;48;-3;52;55;46;55;1;1;1;1
Iowa;1980;1;2913808;48;-8;48;52;55;34;0;1;0;1
Iowa;1984;0;2858618;39;12;46;48;34;54;0;0;0;0
Iowa;1986;0;2791970;46;-32;55;46;54;27;1;0;1;0
Iowa;1990;0;2779769;55;9;34;55;27;52;0;1;1;0
Iowa;1992;0;2806923;55;-42;54;34;52;30;1;0;0;0
Iowa;1996;0;2848473;43;5;27;54;30;54;0;1;0;0
Iowa;1998;0;2861025;50;-38;52;27;54;28;1;0;1;0
Iowa;2002;0;2934234;49;10;30;52;28;63;0;1;1;0
Iowa;2004;0;2953635;49;-42;54;30;63;33;1;0;0;0
Iowa;2008;0;3016734;49;25;28;54;33;;0;1;0;0
Iowa;2010;0;3046355;54;-31;63;28;;;1;0;1;0
Kansas;1914;1;1662000;39;-1;;;34;33;;;1;1
Kansas;1918;0;1729000;50;-30;35;;33;25;0;;1;1
Kansas;1920;0;1769000;50;-31;34;35;25;35;0;0;0;1
Kansas;1924;0;1807000;33;-45;33;34;35;39;0;0;0;0
Kansas;1930;0;1883000;27;-22;35;25;46;48;0;0;1;0
Kansas;1932;0;1883000;27;4;39;35;48;44;0;0;0;0
Kansas;1936;0;1869000;54;-3;46;39;44;40;1;0;0;1
Kansas;1938;0;1842000;54;-12;48;46;40;41;0;1;1;1
Kansas;1942;0;1760000;42;-17;44;48;41;43;0;0;1;1
Kansas;1948;1;1892000;39;-12;41;40;44;42;0;0;0;1
Kansas;1950;0;1905000;45;-10;43;41;42;40;0;0;1;1
Kansas;1954;0;2042000;30;-14;44;43;40;44;0;0;1;0
Kansas;1956;0;2119000;30;-17;42;44;44;36;0;0;0;0
Kansas;1962;0;2231000;39;-26;44;40;45;39;0;0;1;1
Kansas;1966;0;2200000;54;-7;36;44;39;22;0;0;1;1
Kansas;1968;1;2216000;54;-21;45;36;22;49;0;0;0;1
Kansas;1972;0;2256375;35;-51;39;45;49;42;0;0;0;0
Kansas;1974;0;2269499;30;-2;22;39;42;36;0;0;1;0
Kansas;1978;1;2335657;45;-11;49;22;36;21;0;0;1;1
Kansas;1980;1;2363679;45;-28;42;49;21;30;0;0;0;1
Kansas;1984;0;2424086;33;-55;36;42;30;26;0;0;0;0
Kansas;1986;0;2432619;33;-40;21;36;26;31;0;0;1;0
Kansas;1990;0;2480683;43;-47;30;21;31;34;0;0;1;0
Kansas;1996;1;2598266;34;-28;31;26;32;0;0;0;0;0
Kansas;1998;0;2638667;36;-34;34;31;0;27;0;0;1;0
Kansas;2002;0;2713535;37;-83;32;34;27;36;0;0;1;0
Kansas;2004;0;2734373;37;-42;0;32;36;26;0;0;0;0
Kansas;2008;0;2808076;37;-24;27;0;26;;0;0;0;0
Kansas;2010;1;2853118;42;-44;36;27;;;0;0;1;0
Minnesota;1916;1;2308000;32;-18;;;0;18;;;0;1
Minnesota;1922;0;2451000;19;-29;0;31;6;0;0;0;1;0
Minnesota;1924;0;2521000;19;-41;18;0;0;36;0;0;0;0
Minnesota;1928;0;2592000;7;-66;6;18;36;29;0;0;0;0
Minnesota;1934;0;2695000;60;-22;36;0;0;21;0;0;1;1
Minnesota;1940;0;2790000;62;-32;0;29;10;40;0;0;0;1
Minnesota;1942;0;2662000;51;-37;21;0;40;60;0;0;1;1
Minnesota;1946;1;2734000;0;-19;10;21;60;43;0;0;1;1
Minnesota;1948;0;2868000;0;20;40;10;43;56;0;0;0;1
Minnesota;1952;0;3030000;0;-14;60;40;56;53;1;0;0;1
Minnesota;1954;0;3113000;0;14;43;60;53;58;0;1;1;0
Minnesota;1958;0;3313000;0;6;56;43;58;60;1;0;1;0
Minnesota;1964;0;3558000;0;21;58;53;54;58;1;1;0;1
Minnesota;1966;1;3617000;0;9;60;58;58;57;1;1;1;1
Minnesota;1970;1;3806103;0;16;54;60;57;68;1;1;1;0
Minnesota;1978;1;4015341;0;-19;68;57;47;41;1;1;1;1
Minnesota;1982;0;4131450;0;-7;40;68;41;41;0;1;1;0
Minnesota;1984;0;4157706;0;-17;47;40;41;50;0;0;0;0
Minnesota;1988;0;4296166;50;-18;41;47;50;44;0;0;0;0
Minnesota;1990;0;4387283;0;1;41;41;44;50;0;0;1;0
Minnesota;1994;1;4566028;43;-5;50;41;50;49;1;0;1;0
Minnesota;2000;0;4919631;51;6;50;44;47;58;1;0;0;0
Minnesota;2002;1;5018935;48;-2;49;50;58;42;1;1;1;0
Minnesota;2006;1;5163555;51;20;47;49;42;;0;1;1;0
Minnesota;2008;0;5247018;51;0;58;47;;;1;0;0;0
Missouri;1916;0;3527000;47;3;50;;44;51;1;;0;1
Missouri;1922;0;3437000;43;4;44;51;51;48;0;1;1;0
Missouri;1928;1;3601000;44;-4;51;51;63;60;1;1;0;0
Missouri;1932;1;3746000;44;27;48;51;60;61;0;1;0;0
Missouri;1934;0;3784000;64;20;63;48;61;51;1;0;1;1
Missouri;1938;0;3781000;61;22;60;63;51;50;1;1;1;1
Missouri;1944;1;3560000;52;0;51;61;47;54;1;1;0;1
Missouri;1946;1;3746000;51;-6;50;51;54;54;0;1;1;1
Missouri;1950;0;3955000;58;7;47;50;54;56;0;0;1;1
Missouri;1952;0;3972000;58;8;54;47;56;66;1;0;0;1
Missouri;1958;0;4186000;50;33;56;54;55;67;1;1;1;0
Missouri;1962;0;4357000;50;9;66;56;67;51;1;1;1;1
Missouri;1964;0;4442000;50;33;55;66;51;51;1;1;0;1
Missouri;1968;1;4568000;64;2;67;55;51;60;1;1;0;1
Missouri;1970;0;4677623;44;3;51;67;60;42;1;1;1;0
Missouri;1974;0;4795930;38;21;51;51;42;52;1;1;1;0
Missouri;1976;1;4839029;38;-14;60;51;52;49;1;1;0;0
Missouri;1980;1;4916686;51;4;42;60;49;47;0;1;0;1
Missouri;1982;0;4929451;44;-2;52;42;47;32;1;0;1;0
Missouri;1986;1;5023068;40;-5;49;52;32;45;0;1;1;0
Missouri;1988;0;5081736;40;-36;47;49;45;36;0;0;0;0
Missouri;1992;0;5193686;48;-7;32;47;36;44;0;0;0;0
Missouri;1994;1;5281206;44;-24;45;32;44;50;0;0;1;0
Missouri;1998;0;5437562;48;-9;36;45;50;43;0;0;1;0
Missouri;2004;0;5747741;47;-13;50;44;50;39;1;0;0;0
Missouri;2006;0;5842704;46;2;43;50;39;;0;1;1;0
Missouri;2010;1;5988927;49;-16;50;43;;;1;0;1;0
Nebraska;1916;0;1275000;0;4;;;45;38;;;0;1
Nebraska;1918;1;1266000;55;-9;50;;38;38;1;;1;1
Nebraska;1922;0;1312000;31;-19;45;50;38;39;0;1;1;0
Nebraska;1924;0;1333000;31;-25;38;45;39;40;0;0;0;0
Nebraska;1930;0;1380000;36;-17;39;38;55;18;0;0;1;0
Nebraska;1934;1;1382000;63;12;40;39;18;41;0;0;1;1
Nebraska;1936;0;1358000;63;-25;55;40;41;22;1;0;0;1
Nebraska;1940;1;1316000;57;-16;18;55;22;29;0;1;0;1
Nebraska;1942;0;1239000;43;-27;41;18;29;43;0;0;1;1
Nebraska;1946;0;1256000;41;-42;22;41;43;28;0;0;1;1
Nebraska;1954;1;1340000;31;-22;28;43;44;41;0;0;1;0
Nebraska;1958;0;1383000;34;-11;39;28;41;39;0;0;1;0
Nebraska;1960;0;1411000;34;-18;44;39;39;39;0;0;0;0
Nebraska;1964;0;1482000;38;-23;41;44;39;47;0;0;0;1
Nebraska;1966;0;1456000;53;-22;39;41;47;47;0;0;1;1
Nebraska;1970;0;1485333;32;-5;39;39;47;53;0;0;1;0
Nebraska;1972;0;1519013;32;-6;47;39;53;68;0;0;0;0
Nebraska;1976;1;1550911;29;6;47;47;68;67;0;0;0;0
Nebraska;1978;1;1563884;38;35;53;47;67;52;1;0;1;1
Nebraska;1984;0;1588639;26;4;67;68;57;59;1;1;0;0
Nebraska;1988;1;1571477;29;15;52;67;59;55;1;1;0;0
Nebraska;1990;0;1580664;39;18;57;52;55;42;1;1;1;0
Nebraska;1994;0;1621551;29;10;59;57;42;51;1;1;1;0
Nebraska;1996;1;1647657;29;-14;55;59;51;15;1;1;0;0
Nebraska;2000;1;1711230;35;2;42;55;15;64;0;1;0;0
Nebraska;2002;0;1728292;33;-68;51;42;64;40;1;0;1;0
Nebraska;2006;0;1772693;33;28;15;51;40;;0;1;1;0
Nebraska;2008;0;1796378;33;-17;64;15;;;1;0;0;0
North Dakota;1914;0;620000;34;-22;;;38;0;;;1;1
North Dakota;1916;0;652000;34;-16;34;;0;48;0;;0;1
North Dakota;1922;1;647000;18;-5;0;38;9;19;0;0;1;0
North Dakota;1926;0;651000;7;-64;48;0;19;27;0;0;1;0
North Dakota;1928;0;665000;7;-60;9;48;27;40;0;0;0;0
North Dakota;1932;0;676000;44;-45;19;9;40;7;0;0;0;0
North Dakota;1934;0;672000;70;-18;27;19;7;26;0;0;1;1
North Dakota;1938;0;647000;60;-43;40;27;26;45;0;0;1;1
North Dakota;1940;1;640000;60;-12;7;40;45;23;0;0;0;1
North Dakota;1946;0;570000;45;-30;45;26;32;23;1;0;1;1
North Dakota;1950;0;620000;43;-35;23;45;23;36;0;1;1;1
North Dakota;1952;0;608000;43;-43;32;23;36;41;0;0;0;1
North Dakota;1956;0;613000;28;-28;23;32;41;39;0;0;0;0
North Dakota;1962;0;637000;45;-21;41;36;58;34;0;0;1;1
North Dakota;1964;0;649000;45;15;39;41;34;61;0;0;0;1
North Dakota;1968;0;621000;58;-31;58;39;61;48;1;0;0;1
North Dakota;1970;0;617792;38;23;34;58;48;62;0;1;1;0
North Dakota;1974;0;634559;36;0;61;34;62;29;1;0;1;0
North Dakota;1976;0;645797;36;26;48;61;29;63;0;1;0;0
North Dakota;1980;1;652717;46;-41;62;48;63;50;1;0;0;1
North Dakota;1982;0;668972;26;29;29;62;50;59;0;1;1;0
North Dakota;1992;1;635427;43;20;59;50;58;63;1;1;0;0
North Dakota;1994;0;639762;32;16;59;59;63;61;1;1;1;0
North Dakota;1998;0;637808;40;28;58;59;61;68;1;1;1;0
North Dakota;2000;0;642237;40;23;63;58;68;69;1;1;0;0
North Dakota;2004;0;644705;33;37;61;63;69;22;1;1;0;0
North Dakota;2006;0;649422;35;39;68;61;22;;1;1;1;0
North Dakota;2010;1;672591;45;-54;69;68;;;1;1;1;0
South Dakota;1914;1;581000;42;3;;;39;20;;;1;1
South Dakota;1918;1;570000;46;-16;48;;20;31;1;;1;1
South Dakota;1920;1;640000;46;-30;39;48;31;33;0;1;0;1
South Dakota;1924;1;673000;20;-13;20;39;33;52;0;0;0;0
South Dakota;1926;0;683000;13;-26;31;20;52;45;0;0;1;0
South Dakota;1930;0;693000;39;3;33;31;45;49;0;0;1;0
South Dakota;1936;0;666000;64;2;45;52;48;41;0;1;0;1
South Dakota;1938;1;649000;54;-5;49;45;41;36;1;0;1;1
South Dakota;1944;0;565000;43;-28;41;48;41;36;0;0;0;1
South Dakota;1948;1;612000;42;-19;36;41;36;43;0;0;0;1
South Dakota;1950;1;653000;47;-28;41;36;43;49;0;0;1;1
South Dakota;1954;0;655000;31;-15;36;41;49;48;0;0;1;0
South Dakota;1960;0;681000;42;-5;49;43;50;34;0;0;0;0
South Dakota;1962;0;705000;42;0;48;49;34;57;0;0;1;1
South Dakota;1966;0;683000;56;-33;50;48;57;57;1;0;1;1
South Dakota;1968;0;669000;56;14;34;50;57;53;0;1;0;1
South Dakota;1972;1;677234;42;14;57;34;53;33;1;0;0;0
South Dakota;1974;0;679585;46;6;57;57;33;39;1;1;1;0
South Dakota;1978;1;688580;49;-34;53;57;39;26;1;1;1;1
South Dakota;1980;1;690768;49;-19;33;53;26;52;0;1;0;1
South Dakota;1984;0;697249;32;-49;39;33;52;45;0;0;0;0
South Dakota;1986;0;696034;37;3;26;39;45;65;0;0;1;0
South Dakota;1990;0;696667;47;-7;52;26;65;51;1;0;1;0
South Dakota;1992;0;708698;47;32;45;52;51;62;0;1;0;0
South Dakota;1996;0;730699;37;3;65;45;62;50;1;0;0;0
South Dakota;1998;0;730789;43;26;51;65;50;49;1;1;1;0
South Dakota;2002;0;760020;38;0;62;51;49;62;1;1;1;0
South Dakota;2004;0;770396;38;-1;50;62;62;0;1;1;0;0
South Dakota;2008;0;799124;38;25;49;50;0;;0;1;0;0
South Dakota;2010;0;814180;45;-100;62;49;;;1;0;1;0
Virginia;1916;0;2316000;66;100;;;100;72;;;0;1
Virginia;1922;0;2412000;61;45;100;100;73;100;1;1;1;0
Virginia;1924;0;2426000;61;49;72;100;100;77;1;1;0;0
Virginia;1930;0;2427000;46;53;100;73;76;92;1;1;1;0
Virginia;1934;0;2485000;68;55;77;100;92;93;1;1;1;1
Virginia;1936;0;2552000;68;87;76;77;93;91;1;1;0;1
Virginia;1940;0;2720000;70;87;92;76;91;65;1;1;0;1
Virginia;1946;0;3212000;62;34;91;93;66;73;1;1;1;1
Virginia;1948;0;3207000;62;35;65;91;73;80;1;1;0;1
Virginia;1952;0;3504000;48;47;66;65;80;69;1;1;0;1
Virginia;1954;0;3555000;43;60;73;66;69;81;1;1;1;0
Virginia;1958;0;3914000;38;39;80;73;81;64;1;1;1;0
Virginia;1966;0;4456000;54;25;64;81;31;46;1;1;1;1
Virginia;1970;0;4651448;33;-22;59;64;46;38;1;1;1;0
Virginia;1972;0;4824472;33;-5;31;59;38;50;0;1;0;0
Virginia;1976;0;5121863;30;-23;46;31;50;49;0;0;0;0
Virginia;1978;1;5270240;48;0;38;46;49;30;0;0;1;1
Virginia;1982;1;5492783;40;-2;50;38;30;71;0;0;1;0
Virginia;1984;0;5643870;40;-40;49;50;71;0;0;0;0;0
Virginia;1988;1;6036909;37;43;30;49;0;46;0;0;0;0
Virginia;1990;0;6213526;39;-81;71;30;46;47;1;0;1;0
Virginia;1994;0;6536771;41;3;0;71;47;48;0;1;1;0
Virginia;1996;0;6665491;41;-5;46;0;48;0;1;0;0;0
Virginia;2000;0;7079057;45;-5;47;46;0;50;0;1;0;0
Virginia;2002;0;7286873;44;-83;48;47;50;65;0;0;1;0
Virginia;2006;0;7673725;45;0;0;48;65;;0;0;1;0
Virginia;2008;1;7833496;45;31;50;0;;;1;0;0;0
Alabama;1914;1;2336000;70;63;;;100;68;;;1;1
Alabama;1920;0;2359000;76;37;100;78;75;81;1;1;0;1
Alabama;1924;0;2501000;67;50;68;100;81;60;1;1;0;0
Alabama;1926;1;2567000;70;62;75;68;60;86;1;1;1;0
Alabama;1930;0;2647000;51;19;81;75;86;87;1;1;1;0
Alabama;1936;0;2743000;85;75;86;60;86;100;1;1;0;1
Alabama;1938;;2787000;86;73;87;86;100;82;1;1;1;1
Alabama;1944;0;2802000;85;65;100;86;84;77;1;1;0;1
Alabama;1948;0;2969000;81;68;82;100;77;82;1;1;0;1
Alabama;1950;0;3062000;44;53;84;82;82;100;1;1;1;1
Alabama;1954;0;3014000;65;65;77;84;100;70;1;1;1;0
Alabama;1956;0;3071000;65;100;82;77;70;51;1;1;0;0
Alabama;1960;0;3267000;56;40;100;82;51;60;1;1;0;0
Alabama;1962;0;3323000;57;2;70;100;60;70;1;1;1;1
Alabama;1966;0;3464000;0;21;51;70;70;62;1;1;1;1
Alabama;1968;1;3446000;0;48;60;51;62;96;1;1;0;1
Alabama;1972;0;3539400;66;29;70;60;96;94;1;1;0;0
Alabama;1974;0;3626499;26;92;62;70;94;47;1;1;1;0
Alabama;1978;1;3831836;56;88;96;62;47;63;1;1;1;1
Alabama;1980;1;3893888;56;-3;94;96;63;50;1;1;0;1
Alabama;1984;0;3951820;47;26;47;94;50;61;0;1;0;0
Alabama;1986;0;3991569;38;1;63;47;61;65;1;0;1;0
Alabama;1990;0;4048508;40;21;50;63;65;45;1;1;1;0
Alabama;1996;1;4290403;41;-7;65;61;37;40;1;1;0;0
Alabama;1998;0;4351037;43;-27;45;65;40;32;0;1;1;0
Alabama;2002;0;4480089;42;-19;37;45;32;37;0;0;1;0
Alabama;2004;0;4530729;42;-35;40;37;37;35;0;0;0;0
Alabama;2008;0;4718206;37;-27;32;40;35;;0;0;0;0
Alabama;2010;0;4779736;39;-30;37;32;;;0;0;1;0
Arkansas;1918;0;1749000;66;100;;;66;74;;;1;1
Arkansas;1920;1;1756000;66;32;100;;74;83;1;;0;1
Arkansas;1924;;1800000;58;47;66;100;83;100;1;1;0;0
Arkansas;1930;0;1859000;60;100;83;74;89;82;1;1;1;0
Arkansas;1932;0;1836000;60;79;100;83;82;90;1;1;0;0
Arkansas;1938;0;1928000;82;79;82;89;100;85;1;1;1;1
Arkansas;1942;1;1977000;78;100;90;82;85;93;1;1;1;1
Arkansas;1944;1;1768000;78;70;100;90;93;100;1;1;0;1
Arkansas;1948;0;1825000;70;87;85;100;100;100;1;1;0;1
Arkansas;1950;0;1910000;62;100;93;85;100;83;1;1;1;1
Arkansas;1954;0;1734000;56;100;100;93;83;100;1;1;1;0
Arkansas;1956;0;1704000;56;66;100;100;100;69;1;1;0;0
Arkansas;1960;;1786000;52;100;83;100;69;100;1;1;0;0
Arkansas;1962;0;1853000;51;37;100;83;100;59;1;1;1;1
Arkansas;1966;;1899000;56;100;69;100;59;61;1;1;1;1
Arkansas;1968;0;1902000;56;18;100;69;61;85;1;1;0;1
Arkansas;1974;1;2101403;31;70;61;59;77;59;1;1;1;0
Arkansas;1978;1;2243127;65;60;85;61;59;57;1;1;1;1
